Signal,Mean (µV),RMS (µV),MRS (µV),Zero Crossings,Frequency (Hz),Delta (µV² /Hz),Theta (µV² /Hz),Alpha (µV² /Hz),Beta (µV² /Hz),Gamma (µV² /Hz),Label
e1.1,-111.543263,165.326922,137.46451,6,3,13.87119544,0.2165145654,0.1574001858,0.4712672927,0.3606380533,0
e1.2,-85.046038,140.633143,111.886389,6,3,5.126801228,0.1764413535,0.1514535261,0.4718978267,0.3648455494,0
e1.3,-46.838299,126.812428,85.819704,16,8,1.26187567,0.1818046438,0.1618710525,0.4723540795,0.3726680554,0
e1.4,-47.013536,143.65235,91.85055,7,3.5,0.8991437373,0.212408449,0.2984291419,0.738894163,0.5018537888,0
e1.5,-15.339653,113.01152,53.27305,24,12,0.4235851124,0.1951627782,0.1509922525,0.4841053967,0.3710713934,0
e1.6,1.908726,118.022061,59.884275,20,10,0.6239748928,0.1876659146,0.1741540077,0.4760732324,0.3690335906,0
e1.7,63.631671,139.759338,87.008625,10,5,0.7990099969,0.2035830099,0.1672210872,0.476579433,0.37064849,0
e1.8,-18.964808,149.138619,85.332429,19,9.5,1.308871113,0.2710694055,0.3292338092,0.7408793309,0.4972141839,0
e1.9,-105.519536,405.471467,319.643848,7,3.5,7.395332592,0.3605110539,0.1731399435,0.4730612721,0.3616387105,0
e1.10,279.173819,303.550071,280.007753,4,2,5.221294026,0.1866498402,0.1666245925,0.4674703708,0.36803201,0
e1.11,126.097886,169.569998,131.827785,4,2,1.903777799,0.1829854246,0.1614680793,0.4592666525,0.3551884625,0
e1.12,1003.550288,1460.449777,1010.331344,4,2,47.29378627,5.078698453,2.114304046,0.6582467649,0.4443234611,0
e1.13,942.712471,1243.395011,1005.570063,4,2,39.26869846,4.972386348,1.835901888,0.8617483081,0.4045425283,0
e1.14,-251.436446,411.634811,330.782007,11,5.5,9.478936382,1.193065234,0.6949779647,0.5659422866,0.3724008336,0
e1.15,-847.390041,859.952179,847.390041,0,0,29.24316927,0.4382676972,0.2127199625,0.4774698748,0.3607780035,0
e1.16,-482.191476,528.177102,487.529576,5,2.5,12.72151254,0.2714381137,0.2129742194,0.5017221865,0.403299591,0
e1.17,-283.818433,314.227504,304.621455,5,2.5,5.93381936,0.1932931486,0.3044286651,0.5339419756,0.4349492002,0
e1.18,-242.725234,269.74855,261.209064,4,2,3.714051166,0.189374875,0.1606731278,0.4628321853,0.3687233007,0
e1.19,-104.781121,151.595815,128.008858,4,2,1.28577533,0.1617741561,0.1562545147,0.4598619519,0.3561163148,0
e1.20,-41.04652,142.214152,88.408253,13,6.5,1.279871596,0.2201831101,0.2646179336,0.7156043833,0.5157991015,0
e2.1,-1898.685214,1914.514846,1898.685214,0,0,153.8712459,0.3728915618,1.441676549,1.725229465,0.5323051848,0
e2.2,-2032.066595,2061.356072,2032.066595,0,0,236.2983106,1.086684284,1.130593309,2.81030574,1.129211152,0
e2.3,-1182.713589,1355.427112,1201.310274,6,3,121.2565095,1.633030071,1.253949039,1.897090075,0.9217901749,0
e2.4,-128.823828,392.775795,296.860876,22,11,15.96685481,0.7858409256,1.632167438,2.023843921,0.8488763595,0
e2.5,966.493514,1574.369495,1126.527739,9,4.5,111.7125477,1.594603076,1.476589213,1.582341972,0.3462948068,0
e2.6,150.845119,551.673269,494.426879,5,2.5,25.31635462,0.9398456116,0.9027711185,1.258869976,0.4123221627,0
e2.7,258.850439,384.410835,318.511052,20,10,11.11291999,0.9851725545,1.045365406,1.377599088,0.4435965357,0
e2.8,608.198353,747.958363,655.311319,4,2,29.28360992,0.6310982692,0.7033982378,1.193063107,0.4306033607,0
e2.9,1119.526531,1142.055505,1119.526531,0,0,55.59818493,0.4074393012,0.7493107022,1.481097604,0.4669800664,0
e2.10,632.692863,678.452192,633.837933,4,2,26.71187776,0.4498676203,0.9731509964,1.904523492,0.7139703605,0
e2.11,126.938907,264.925745,201.029038,47,23.5,20.73700369,0.6513474105,0.9601548406,1.779163816,0.7766181133,0
e2.12,762.543864,883.4293,773.230831,11,5.5,33.59846719,0.5536949215,0.6000399974,1.156114683,0.578569089,0
e2.13,839.599496,884.940839,840.81905,2,1,34.55849464,0.3714731189,0.8854831576,1.424073413,0.6526343808,0
e2.14,203.771618,363.319356,293.939057,8,4,10.79796547,0.4143242034,0.728944211,1.304821142,0.4556564134,0
e2.15,457.503624,667.125482,551.494763,6,3,19.06699759,0.6037814626,0.7453307434,1.433485666,0.436151048,0
e2.16,260.297043,453.592212,352.281354,12,6,8.507759302,0.4779399683,0.9148777233,1.506699974,0.4779396734,0
e2.17,-440.328186,511.885576,466.210581,5,2.5,16.84410346,0.3006519204,0.8515107852,1.714694538,0.4259097297,0
e2.18,-579.590158,725.443801,605.547037,6,3,22.12883334,0.5388211145,0.819385697,1.536382112,0.3389989854,0
e2.19,-463.519143,540.184089,473.268515,6,3,18.10152201,0.4044168345,0.9378477735,1.504418094,0.3247928675,0
e2.20,-247.591354,386.618824,297.145045,12,6,23.49501659,0.4153325715,1.107962427,1.523339414,0.3736308717,0
e3.1,-96.894671,182.527223,163.369284,7,3.5,1.608216047,0.4530376713,0.1104468809,0.2086850443,0.2238242822,0
e3.2,273.214201,421.0473,305.021504,16,8,10.06218273,0.5818270943,0.1633515227,0.23132416,0.2244286937,0
e3.3,222.480367,349.008758,259.547519,4,2,10.09966142,0.8066986124,0.1207259986,0.162240909,0.153759038,0
e3.4,61.50418,149.720152,117.349935,14,7,7.139524946,0.260594556,0.05256523188,0.2205180273,0.2292402035,0
e3.5,241.657753,271.750783,243.041329,4,2,4.007330354,0.2703571635,0.07124238809,0.2122475335,0.2296794984,0
e3.6,165.417466,194.118756,166.035722,4,2,2.200363472,0.2102457439,0.0562712346,0.1547683534,0.1470307437,0
e3.7,105.008996,145.984704,112.932016,14,7,1.38432084,0.2436038899,0.05452885454,0.2175699193,0.2270349444,0
e3.8,38.605428,106.055351,75.786821,13,6.5,0.9091468555,0.2503783895,0.06386462472,0.2054607735,0.2225004011,0
e3.9,-33.78082,-33.78082,89.049808,26,13,0.3830524728,0.1886104489,0.0499649369,0.1424168594,0.143767105,0
e3.10,-81.508282,129.476239,105.30579,15,7.5,0.8004664046,0.2163879468,0.04820358675,0.1862289806,0.2128358063,0
e3.11,-26.503439,105.432074,79.460581,20,10,1.457358591,0.2704196078,0.05605147803,0.2078988731,0.2159832114,0
e3.12,-105.563179,135.78534,116.783509,6,3,1.056051176,0.2357042228,0.06125590875,0.1422845084,0.1458335046,0
e3.13,-107.457193,143.304217,124.739282,6,3,0.9972584788,0.2361505505,0.05698583702,0.2064116585,0.2191650547,0
e3.14,-81.3096,125.322495,102.25823,20,10,0.7664174235,0.2465283389,0.05848542463,0.1995958851,0.2154397309,0
e3.15,-33.465151,104.454924,73.353424,17,8.5,0.6473259058,0.2071656762,0.05728867749,0.1403149714,0.1456965823,0
e3.16,-42.939797,105.114912,78.956957,14,7,0.4980904384,0.2507838172,0.05109426688,0.2113250803,0.1987486464,0
e3.17,-72.864963,119.819446,93.65151,18,9,0.6205616454,0.2394605805,0.04468191473,0.1881506481,0.2148336232,0
e3.18,-61.285855,108.153182,80.863351,20,10,0.4955926671,0.2328325457,0.07448405777,0.1571033207,0.1552127505,0
e3.19,-37.585841,99.590456,71.87371,20,10,0.4640867577,0.2680797637,0.07110326565,0.2028149524,0.1753859512,0
e3.20,-29.406548,99.82367,70.570516,19,9.5,0.395143531,0.2516038019,0.05321099042,0.2040119308,0.2252536717,0
e5.1,319.925483,370.043842,338.664107,4,2,9.782395809,1.234378369,0.4022041215,0.5624246469,0.3575227449,1
e5.2,136.776646,279.37335,220.191407,16,8,9.380248899,1.163930834,0.3872271353,0.5604135372,0.344313818,1
e5.3,28.967425,234.26445,176.092648,19,9.5,15.67683067,1.330110976,0.5469996721,0.5708144379,0.3263954496,1
e5.4,211.786052,307.801798,251.965106,5,2.5,14.29538308,1.134551195,0.3939385869,0.5542150015,0.3329113666,1
e5.5,468.770085,557.526664,480.331829,10,5,17.45353323,1.394755792,0.4497148508,0.8516192101,0.5330072266,1
e5.6,235.255959,338.653244,288.957835,10,5,6.3820117,1.087163873,0.5113439779,0.5646862392,0.3432209254,1
e5.7,374.877942,426.587847,387.84535,6,3,9.699911155,1.180186124,0.4870545573,0.5721288494,0.3422996672,1
e5.8,62.516469,266.198847,199.391961,21,10.5,5.172043997,1.155827815,0.5829151869,0.8892102437,0.5160792284,1
e5.9,356.946495,422.272543,3798.289606,7,3.5,10.70349415,1.144280246,0.5594583645,0.5489477345,0.3371174025,1
e5.10,566.611629,614.338432,572.647852,4,2,15.79298085,1.023807503,0.5042976725,0.5418091646,0.3371153413,1
e5.11,24.173651,269.36611,202.18241,19,9.5,5.069382013,1.220503442,0.5685479376,0.8894024013,0.5161140896,1
e5.12,-79.316844,209.978422,152.26976,15,7.5,2.497847721,0.9500734594,0.5287220232,0.5726091989,0.3412937325,1
e5.13,173.966935,321.304499,271.692324,4,2,4.434176615,1.031000664,0.5075078011,0.5481691102,0.3386242751,1
e5.14,149.931977,298.236075,248.086431,11,5.5,5.784418074,1.263810128,0.5533294074,0.8451053685,0.5354549241,1
e5.15,241.909024,331.894147,276.916738,7,3.5,7.671723336,1.22553538,0.4620464799,0.5513506527,0.3355214561,1
e5.16,438.634,505.866603,445.410556,4,2,14.59589631,1.242005058,0.57063162,0.5797075346,0.3303858772,1
e5.17,335.951371,391.070007,350.469416,5,2.5,11.26413094,1.082159237,0.4184492233,0.5410109821,0.3257151561,1
e5.18,-119.994002,233.792467,162.42437,12,6,6.788582309,0.8460759662,0.5823245634,0.7708109575,0.4272568019,1
e5.19,-94.81106,220.39036,164.665023,12,6,8.601325537,0.8847208553,0.4281419127,0.5647790133,0.3390788185,1
e5.20,-67.997931,218.785297,162.426689,15,7.5,5.915349373,0.9685949816,0.5319945964,0.5520084338,0.3371395941,1
e6.1,228.362399,355.258629,260.103722,3,1.5,12.47392483,4.177777889,3.754380923,2.143081673,0.3710540181,0
e6.2,-619.363261,737.972212,673.745329,7,3.5,32.50537822,4.51323219,3.827871971,2.134350336,0.3487738157,0
e6.3,694.801665,875.064768,719.050608,1,0.5,28.33046032,4.507394057,4.012440105,2.235866331,0.3730206355,0
e6.4,160.934015,716.124364,610.612545,4,2,20.39492798,4.358241229,3.80758382,2.159972551,0.3377439589,0
e6.5,-135.905969,372.203057,329.364871,5,2.5,7.710501649,4.462900384,3.878823974,2.177174608,0.3596210456,0
e6.6,-20.57239,474.38588,424.408806,6,3,8.523716882,4.600243754,3.951799654,2.208933862,0.3570266901,0
e6.7,-523.379609,722.409381,569.1249,8,4,34.32082942,4.863736515,4.177978783,2.291405969,0.3610025887,0
e6.8,69.720725,446.181755,355.623112,5,2.5,12.62356373,4.649521924,4.020445688,2.270887895,0.3719663391,0
e6.9,157.019232,455.589588,383.225603,3,1.5,18.32775748,4.740834446,4.118157312,2.243357273,0.348001806,0
e6.10,789.721978,1052.584897,864.081886,3,1.5,37.22453021,5.915055925,4.447073964,2.230515126,0.3661089782,0
e6.11,117.444266,939.989295,664.800426,5,2.5,21.08235117,9.915104943,5.328257689,2.455003382,0.3980511993,0
e6.12,-897.797748,1109.073147,950.831489,8,4,44.53167989,5.511825807,3.883776849,2.210626124,0.3537631329,0
e6.13,-623.049988,747.409503,673.040161,6,3,25.25895877,4.831370831,3.855641599,2.183859458,0.3505493457,0
e6.14,245.248406,432.012754,316.458046,7,3.5,20.7146865,4.778792501,4.029622843,2.303252819,0.3496420201,0
e6.15,213.532489,433.149419,322.305432,12,6,12.77699379,4.559313969,3.792825434,2.198016717,0.3558585106,0
e6.16,280.014484,480.760842,367.046183,4,2,10.7899465,4.471248943,3.975946333,2.242916804,0.3451476133,0
e6.17,204.933612,439.573835,372.094838,5,2.5,9.999069398,4.613724225,4.007100921,2.29825521,0.3664104843,0
e6.18,326.704748,668.430235,389.889338,19,9.5,14.34729851,5.521296181,3.96612763,2.204819548,0.3430848039,0
e6.19,-49.92373,650.57694,544.214714,6,3,26.13153926,4.6832527,4.170882875,2.298354318,0.359483333,0
e6.20,-193.688438,817.116278,756.246303,3,1.5,20.47261774,4.786189878,4.078398078,2.277906954,0.3463115293,0
e7.1,-183.576612,276.843088,256.01458,3,1.5,4.084772348,0.1571273539,0.0898519311,0.09051443543,0.05977321678,0
e7.2,-239.122137,343.060274,301.801197,11,5.5,6.892372986,0.347522435,0.1113566721,0.1054527007,0.08471508444,0
e7.3,-220.6012,287.675386,223.937029,10,5,7.274102676,0.2107223868,0.1170278864,0.1717426002,0.161519137,0
e7.4,-131.817171,166.583424,141.42067,14,7,3.196402356,0.09359272826,0.0736409518,0.1280122639,0.101205157,0
e7.5,-212.057477,234.792544,214.84088,6,3,4.057174545,0.1141950161,0.1012728223,0.1951949954,0.2455941401,0
e7.6,-67.129492,154.510163,121.601893,34,17,4.483199138,0.1756676422,0.0845830837,0.168950737,0.1624692793,0
e7.7,-221.389173,256.611591,224.288166,8,4,7.119967163,0.3912866104,0.1184209016,0.166498313,0.1312631136,0
e7.8,-437.884664,508.580946,435.899543,2,1,20.65477035,0.7529851829,0.2892421635,0.2531597528,0.1418596511,0
e7.9,211.101196,251.029711,220.528826,22,11,5.216900695,0.2085885728,0.09065853381,0.1545297708,0.125895839,0
e7.10,171.816997,193.162511,183.229686,6,3,4.346433643,0.130509124,0.1385384444,0.2388759998,0.160575341,0
e7.11,186.94226,205.868844,192.486236,8,4,3.939215015,0.1248029804,0.07498279824,0.1509449757,0.09807944754,0
e7.12,86.633682,123.497826,103.250557,10,5,2.471531576,0.1471529571,0.1198765979,0.2357673697,0.1762445947,0
e7.13,86.06863,116.441095,99.186098,16,8,1.666593583,0.1244688462,0.07273730271,0.1700388542,0.1271394395,0
e7.14,124.011129,150.716453,136.176072,7,3.5,1.466915381,0.1139618436,0.06435816857,0.1583888901,0.1289821105,0
e7.15,585.109916,798.038748,598.009406,9,4.5,18.48655483,1.067805902,0.4454609134,0.2794178518,0.1767485875,0
e7.16,54.440046,308.217921,228.663853,12,6,11.93949934,0.330608707,0.214206187,0.1760460419,0.1252038706,0
e7.17,-24.647505,131.066494,99.05319,31,15.5,18.02990047,0.3607423272,0.1463189515,0.1836207323,0.1429794632,0
e7.18,-306.030086,322.722074,306.030086,0,0,4.997428443,0.1351863135,0.05115589808,0.07667557591,0.06213964106,0
e7.19,-316.203995,327.737003,316.203995,0,0,4.576213033,0.1516589294,0.07188284267,0.1639509811,0.09694438367,0
e7.20,-171.478666,199.283839,176.411194,12,6,2.198112781,0.2219696952,0.1210794465,0.1084343701,0.07443509637,0
e8.1,67.353382,384.637954,312.943591,7,3.5,7.732783096,0.8112498974,0.4803593258,0.6368196678,0.3225885963,1
e8.2,0.273175,335.495249,273.821024,6,3,13.08173272,0.8013667321,0.3932393234,0.6584970901,0.3369348015,1
e8.3,-29.195338,230.807858,173.068464,17,8.5,10.17019429,0.5139030142,0.5662643103,0.9064911057,0.4281897618,1
e8.4,-433.946322,525.884919,480.034945,5,2.5,13.67677974,0.6671600765,0.3904568097,0.636489564,0.3207051432,1
e8.5,-228.851072,351.64301,322.880298,5,2.5,10.36815814,0.5945656377,0.3903737661,0.6248677679,0.3295756322,1
e8.6,-377.810066,423.811211,360.649668,8,4,18.03973306,0.7305484968,0.4048962325,0.6285960574,0.3336014442,1
e8.7,423.90928,619.219358,487.426311,6,3,13.38405798,0.7502455376,0.3490711769,0.6446704144,0.3331226668,1
e8.8,270.042394,370.691996,295.863849,9,4.5,5.397079643,0.5817760539,0.9504678831,0.8278655136,0.4430834082,1
e8.9,-14.483135,215.416432,153.546656,13,6.5,2.47563588,0.5223112836,0.4043062634,0.6120846454,0.31496795,1
e8.10,-152.106576,258.783104,227.361014,6,3,2.669033919,0.4386444241,0.3057900599,0.6390968389,0.3374571292,1
e8.11,47.196299,208.620015,143.848218,17,8.5,2.292511825,0.5057354097,0.3006692185,0.5936826335,0.3127391904,1
e8.12,-76.183431,283.090679,230.732882,8,4,2.529651912,0.7563187839,0.4851836227,0.6723367742,0.3506186193,1
e8.13,64.428585,280.188177,156.258709,12,6,3.431171658,0.7552049518,0.8277898679,0.8473382165,0.4457817008,1
e8.14,-826.601149,1049.622587,911.605308,4,2,60.39003907,2.165803809,0.6115259752,0.6353821091,0.3265016441,1
e8.15,-47.844425,475.888829,422.395945,4,2,27.63546053,1.196471242,0.4423500142,0.6539759488,0.3314884851,1
e8.16,842.998747,918.109755,845.998747,0,0,35.66060764,0.8291284473,0.3696508818,0.5930498079,0.3071948696,1
e8.17,669.625064,713.415405,669.625064,0,0,18.68011842,0.6225411447,0.5815650912,0.8410286366,0.4557996631,1
e8.18,146.501732,440.572978,374.462486,5,2.5,5.353612326,0.6579470224,0.3763847656,0.6378527364,0.3188144873,1
e8.19,-110.763634,365.618604,310.623302,10,5,4.512009692,0.8385474661,0.4969244772,0.6344613686,0.3113308336,1
e8.20,-8.777178,156.068165,104.773465,14,7,2.252963999,0.516667535,0.298951671,0.6157229294,0.3234590621,1
e9.1,60.1877,105.6449,95.5044,6,3,2.148875941,0.09476590716,0.03237811534,0.005652250364,0.001664963097,1
e9.2,100.4023,117.5411,101.1249,6,3,1.842526751,0.09223847806,0.03993537038,0.00630600455,0.00154494927,1
e9.3,59.5761,82.4706,66.6669,18,9,1.233075499,0.0760129343,0.03588303834,0.007434575748,0.002282675963,1
e9.4,139.1019,167.9818,151.4369,2,1,2.981107961,0.1388335657,0.05690198955,0.0146040026,0.00605125997,1
e9.5,144.701,161.1829,145.6369,2,1,3.132957191,0.07033397925,0.04566946415,0.01090222744,0.009792625888,1
e9.6,21.1061,92.3564,64.6148,46,23,1.663874902,0.1031619981,0.02696090995,0.007687760716,0.01436425139,1
e9.7,66.951,113.8347,88.6426,32,16,1.024417553,0.140367358,0.05082156878,0.01576999765,0.009378090512,1
e9.8,124.4706,163.541,127.3047,18,9,1.454462333,0.1155862746,0.09154629511,0.01754172311,0.02192116465,1
e9.9,99.9761,140.7295,115.185,24,12,1.272402304,0.08079517725,0.04630593325,0.0204719047,0.01566697829,1
e9.10,98.362,142.4008,107.4137,26,13,1.70270865,0.1020823523,0.07861989618,0.01982173924,0.01422311689,1
e9.11,177.8603,231.698,184.9057,6,3,2.325366875,0.156742652,0.1066981843,0.02423797075,0.007787522697,1
e9.12,248.7367,292.9866,248.7367,0,0,4.546875229,0.2491589227,0.1142157147,0.02550952508,0.01390538248,1
e9.13,271.396,327.4459,271.6541,4,2,4.62032863,0.3391135178,0.1621076527,0.02195506073,0.007701521554,1
e9.14,216.2677,290.8179,223.1441,6,3,3.395343042,0.3541956966,0.08883430048,0.01593823207,0.006611351678,1
e9.15,159.0133,247.7646,171.049,18,9,2.440111561,0.2933204954,0.0776015222,0.01735351303,0.00673372356,1
e9.16,176.2748,246.6425,193.7511,8,4,2.330836302,0.2233448965,0.1611887059,0.02190374745,0.004746381736,1
e9.17,179.5137,218.1489,184.5846,4,2,2.697718931,0.08719974136,0.08263328138,0.01424737321,0.003142768401,1
e9.18,216.074,248.9335,216.074,0,0,2.172723126,0.1419080206,0.1229381925,0.02264753485,0.003728817009,1
e9.19,175.9392,228.7972,178.093,6,3,2.365009566,0.1435488509,0.0787149859,0.02355074957,0.003871722693,1
e9.20,165.1913,221.069,171.215,12,6,1.676514145,0.1262805298,0.05204019611,0.01374039716,0.003748292484,1
e10.1,57.2526,92.6416,74.356,6,3,0.7152323182,0.2490002412,0.1940694925,0.2390788275,0.06857109227,0
e10.2,16.3085,78.2554,55.6685,13,6.5,0.578941952,0.2717472495,0.2046725561,0.2378275101,0.06732219786,0
e10.3,30.5404,135.0645,97.3501,12,6,5.009484178,0.4663711043,0.2039164017,0.2327009237,0.06616515277,0
e10.4,-92.9449,143.2459,101.7505,12,6,5.999658554,0.442076879,0.3798907225,0.3553575462,0.09760889304,0
e10.5,8.2566,80.5291,50.3594,19,9.5,1.849806699,0.3197084848,0.2189176005,0.2556942031,0.07194283778,0
e10.6,-10.503,87.0474,60.1806,9,4.5,1.523845381,0.2272984133,0.2201437929,0.2405424618,0.06376934453,0
e10.7,-28.1583,78.3163,44.588,23,11.5,1.17952767,0.2574227646,0.2121382766,0.2584924837,0.06922267493,0
e10.8,-44.2947,98.0396,53.3136,23,11.5,1.882840355,0.2930404975,0.3728793859,0.3407046159,0.09990843839,0
e10.9,-63.8838,98.8064,66.3395,9,4.5,1.316362683,0.2890632191,0.238489198,0.2674199288,0.07300362936,0
e10.10,-43.9162,102.4715,72.8397,6,3,1.719402815,0.286064042,0.22652829,0.253867281,0.06866627647,0
e10.11,3.4327,96.9369,64.069,15,7.5,0.8585635525,0.287319032,0.2988018446,0.3590938505,0.1181231581,0
e10.12,32.5625,82.6554,55.6014,25,12.5,0.6426328248,0.2514691876,0.2222943681,0.2554458925,0.07126068935,0
e10.13,52.6104,89.445,72.0189,6,3,0.7422732167,0.2648336934,0.2231304747,0.2524078207,0.06902574702,0
e10.14,59.995,96.9335,79.2662,6,3,1.176283933,0.2650868082,0.2227858497,0.2578150118,0.06788753417,0
e10.15,15.4072,91.8077,58.2389,16,8,1.047158936,0.3205670628,0.3332259943,0.3634969401,0.09870569998,0
e10.16,7.8233,85.498,55.7656,13,6.5,0.8901382978,0.2813146295,0.2227754933,0.2634012041,0.06943600088,0
e10.17,4.1366,79.8018,54.3332,14,7,0.7898165364,0.2582101908,0.2035556086,0.2454005602,0.06535127257,0
e10.18,-21.7344,79.3766,49.0933,10,5,0.5736898938,0.2586751283,0.2068218847,0.2456600974,0.06672814202,0
e10.19,-30.7784,101.0151,63.335,15,7.5,0.8992698532,0.3803399015,0.399627075,0.3576642693,0.09137515505,0
e10.20,-61.4355,109.5866,79.8403,7,3.5,1.865453039,0.3610412158,0.2338501446,0.26003272,0.06875869725,0
e11.1,147.4154,201.6028,169.1202,9,4.5,3.019221981,0.4637418144,0.1240533597,0.1816019658,0.2267296183,0
e11.2,290.0919,343.8593,315.0329,8,4,6.175352153,0.5000706478,0.162024345,0.1439219276,0.1485044025,0
e11.3,-109.4934,256.2681,218.2909,16,8,3.88364441,0.4764908755,0.1158971732,0.1407400039,0.1616840217,0
e11.4,-130.5338,245.8226,198.6147,15,7.5,5.8436941,0.3537231555,0.1083903776,0.1793450533,0.1934769545,0
e11.5,122.3076,313.1876,257.8309,8,4,6.491395795,0.5822345855,0.1230650368,0.1323015002,0.1458343658,0
e11.6,-73.1942,311.4558,260.8293,12,6,5.652314416,0.4085530034,0.1228398812,0.1871834619,0.2161327063,0
e11.7,-58.6966,209.3778,174.2082,16,8,5.125449708,0.5149695912,0.09207758007,0.1421925987,0.1473478151,0
e11.8,283.8211,340.496,291.5821,11,5.5,6.310341694,0.471970476,0.1812414487,0.1834638632,0.1755423732,0
e11.9,232.926,516.2668,458.4305,5,2.5,8.956937858,0.7554158852,0.1555197444,0.1383599049,0.1503787175,0
e11.10,266.4822,339.837,282.4774,11,5.5,9.570299972,0.5271998663,0.1302162725,0.1715218517,0.1927821482,0
